,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,2590447,668983,11481,43217,73870,23867,8720,6476,8479,974250,49399,27009,364203,112239,20146,96835,66923
Total_people_one_dose,1628587,435393,6812,28353,46211,15308,5385,3676,5376,620721,33239,17830,226020,72290,11808,56858,43307
Total_people_complete,1007600,,,,,,,,,,,,,,,,
Total_doses_ordered,2501430,,,,,,,,,,,,,,,,
65 years and older,463533,,,,,,,,,,,,,,,,
55-64 years,164838,,,,,,,,,,,,,,,,
45-54 years,95580,,,,,,,,,,,,,,,,
20-44 years,200075,,,,,,,,,,,,,,,,
Less than 20 years,8130,,,,,,,,,,,,,,,,
65 years and older,56858,,,,,,,,,,,,,,,,
55-64 years,121663,,,,,,,,,,,,,,,,
45-54 years,64410,,,,,,,,,,,,,,,,
20-44 years,128155,,,,,,,,,,,,,,,,
Less than 20 years,5343,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",27905,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",42950,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",45906,,,,,,,,,,,,,,,,
Hispanic or Latino,144010,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",252093,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",307937,,,,,,,,,,,,,,,,
"White, non-Hispanic",808320,,,,,,,,,,,,,,,,
