Category,Yavapai
Total_doses_administered,185128
Total_people_one_dose,105943
Total_people_complete,89081
Total_doses_ordered,166400
total_pouluation,232386
Male-65 years and older,23636
Male-55-64 years,8306
Male-45-54 years,4724
Male-20-44 years,9121
Male-Less than 20 years,1812
Female-65 years and older,29502
Female-55-64 years,10674
Female-45-54 years,5522
Female-20-44 years,9305
Female-Less than 20 years,2031
"Black or African American, non-Hispanic",525
"American Indian or Alaska Native, non-Hispanic",1050
"Asian or Pacific Islander, non-Hispanic",1379
Hispanic or Latino,6385
Other Race,16256
Unknown,26854
"White, non-Hispanic",53494
