Category,Navajo
Total_doses_administered,62930
Total_people_one_dose,35633
Total_people_complete,30747
Total_doses_ordered,40790
total_pouluation,112825
Male-65 years and older,6241
Male-55-64 years,2864
Male-45-54 years,1975
Male-20-44 years,3998
Male-Less than 20 years,2591
Female-65 years and older,6712
Female-55-64 years,3158
Female-45-54 years,2024
Female-20-44 years,3345
Female-Less than 20 years,2693
"Black or African American, non-Hispanic",205
"Asian or Pacific Islander, non-Hispanic",369
Unknown,1910
Hispanic or Latino,2057
Other Race,7693
"American Indian or Alaska Native, non-Hispanic",9714
"White, non-Hispanic",13685
