Category,Santa Cruz
Total_doses_administered,67130
Total_people_one_dose,37281
Total_people_complete,33806
Total_doses_ordered,49212
total_pouluation,53161
Male-65 years and older,3562
Male-55-64 years,2594
Male-45-54 years,2952
Male-20-44 years,7286
Male-Less than 20 years,2211
Female-65 years and older,4309
Female-55-64 years,2618
Female-45-54 years,2799
Female-20-44 years,6638
Female-Less than 20 years,2245
"American Indian or Alaska Native, non-Hispanic",16
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",94
Other Race,1983
Unknown,2306
"White, non-Hispanic",4713
Hispanic or Latino,28137
