Category,Apache
Total_doses_administered,31077
Total_people_one_dose,17360
Total_people_complete,11432
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1891
Male-55-64 years,1251
Male-45-54 years,948
Male-20-44 years,2228
Male-Less than 20 years,2285
Female-65 years and older,2005
Female-55-64 years,1373
Female-45-54 years,941
Female-20-44 years,2057
Female-Less than 20 years,2371
"Asian or Pacific Islander, non-Hispanic",160
"Black or African American, non-Hispanic",259
Unknown,979
Other Race,1173
Hispanic or Latino,1657
"White, non-Hispanic",3076
"American Indian or Alaska Native, non-Hispanic",10056
