Category,Mohave
Total_doses_administered,150357
Total_people_one_dose,86363
Total_people_complete,71497
Total_doses_ordered,126080
total_pouluation,216985
Male-65 years and older,21186
Male-55-64 years,8170
Male-45-54 years,4097
Male-20-44 years,6755
Male-Less than 20 years,1044
Female-65 years and older,23590
Female-55-64 years,9570
Female-45-54 years,4351
Female-20-44 years,6239
Female-Less than 20 years,1208
"Black or African American, non-Hispanic",590
"American Indian or Alaska Native, non-Hispanic",863
"Asian or Pacific Islander, non-Hispanic",1243
Hispanic or Latino,5864
Unknown,14658
Other Race,15564
"White, non-Hispanic",47581
