Category,La Paz
Total_doses_administered,17382
Total_people_one_dose,9555
Total_people_complete,8537
Total_doses_ordered,18600
total_pouluation,22085
Male-65 years and older,3114
Male-55-64 years,685
Male-45-54 years,312
Male-20-44 years,505
Male-Less than 20 years,130
Female-65 years and older,3014
Female-55-64 years,840
Female-45-54 years,348
Female-20-44 years,455
Female-Less than 20 years,137
"Black or African American, non-Hispanic",27
"Asian or Pacific Islander, non-Hispanic",70
"American Indian or Alaska Native, non-Hispanic",183
Hispanic or Latino,981
Other Race,1084
Unknown,2618
"White, non-Hispanic",4592
