Category,Arizona
Total_doses_administered,6925095
Total_people_complete,3365078
Total_doses_ordered,5244710
total_pouluation,7189020
Total_people_one_dose,3811016
Male-65 years and older,510583
Male-55-64 years,291384
Male-45-54 years,249837
Male-20-44 years,582052
Male-Less than 20 years,144487
Female-65 years and older,629967
Female-55-64 years,336689
Female-45-54 years,275359
Female-20-44 years,617480
Female-Less than 20 years,153835
"Black or African American, non-Hispanic",102471
"American Indian or Alaska Native, non-Hispanic",106888
"Asian or Pacific Islander, non-Hispanic",145738
Unknown,412354
Hispanic or Latino,621549
Other Race,647490
"White, non-Hispanic",1774526
