Category,Maricopa
Total_doses_administered,2892270
Total_people_one_dose,1650945
Total_people_complete,1428151
Total_doses_ordered,1557479
total_pouluation,4367835
Male-65 years and older,177031
Male-55-64 years,122901
Male-45-54 years,119823
Male-20-44 years,272392
Male-Less than 20 years,70227
Female-65 years and older,229934
Female-55-64 years,142298
Female-45-54 years,133821
Female-20-44 years,297455
Female-Less than 20 years,73312
"American Indian or Alaska Native, non-Hispanic",35210
"Black or African American, non-Hispanic",62868
"Asian or Pacific Islander, non-Hispanic",78790
Unknown,162155
Other Race,253961
Hispanic or Latino,291185
"White, non-Hispanic",766776
