Category,Cochise
Total_doses_administered,116935
Total_people_one_dose,65787
Total_people_complete,57884
Total_doses_ordered,89070
total_pouluation,130808
Male-65 years and older,10568
Male-55-64 years,5104
Male-45-54 years,3664
Male-20-44 years,9347
Male-Less than 20 years,2367
Female-65 years and older,12508
Female-55-64 years,6128
Female-45-54 years,4227
Female-20-44 years,9317
Female-Less than 20 years,2466
"American Indian or Alaska Native, non-Hispanic",313
"Black or African American, non-Hispanic",1219
"Asian or Pacific Islander, non-Hispanic",1275
Unknown,8746
Other Race,10078
Hispanic or Latino,15684
"White, non-Hispanic",28472
