,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,2646874,684733,11669,44207,75437,24505,8890,6509,8583,995666,50174,27436,371058,114418,20789,99253,68154
Total_people_one_dose,1663876,446031,6931,29068,47087,15745,5499,3689,5480,632996,33817,18016,231036,73749,12397,57907,44428
Total_people_complete,1033008,,,,,,,,,,,,,,,,
Total_doses_ordered,2501430,,,,,,,,,,,,,,,,
65 years and older,469619,,,,,,,,,,,,,,,,
55-64 years,172409,,,,,,,,,,,,,,,,
45-54 years,97235,,,,,,,,,,,,,,,,
20-44 years,203195,,,,,,,,,,,,,,,,
Less than 20 years,8407,,,,,,,,,,,,,,,,
65 years and older,18016,,,,,,,,,,,,,,,,
55-64 years,128627,,,,,,,,,,,,,,,,
45-54 years,65937,,,,,,,,,,,,,,,,
20-44 years,131153,,,,,,,,,,,,,,,,
Less than 20 years,5532,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",28296,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",43586,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",46444,,,,,,,,,,,,,,,,
Hispanic or Latino,148507,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",268513,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",310433,,,,,,,,,,,,,,,,
"White, non-Hispanic",818108,,,,,,,,,,,,,,,,
