Category,Coconino
Total_doses_administered,150834
Total_people_one_dose,83047
Total_people_complete,74362
Total_doses_ordered,97448
total_pouluation,147275
Male-65 years and older,7765
Male-55-64 years,6053
Male-45-54 years,5447
Male-20-44 years,16466
Male-Less than 20 years,3171
Female-65 years and older,8860
Female-55-64 years,6771
Female-45-54 years,5593
Female-20-44 years,18945
Female-Less than 20 years,3893
"Black or African American, non-Hispanic",600
"Asian or Pacific Islander, non-Hispanic",1247
Hispanic or Latino,5862
Other Race,9630
Unknown,16981
"American Indian or Alaska Native, non-Hispanic",17315
"White, non-Hispanic",31412
