Category,Santa Cruz
Total_doses_administered,69729
Total_people_one_dose,39129
Total_people_complete,35040
Total_doses_ordered,49212
total_pouluation,53161
Male-65 years and older,3602
Male-55-64 years,2622
Male-45-54 years,3040
Male-20-44 years,7715
Male-Less than 20 years,2510
Female-65 years and older,4371
Female-55-64 years,2668
Female-45-54 years,2900
Female-20-44 years,7093
Female-Less than 20 years,2539
"American Indian or Alaska Native, non-Hispanic",17
"Black or African American, non-Hispanic",35
"Asian or Pacific Islander, non-Hispanic",98
Other Race,2031
Unknown,2344
"White, non-Hispanic",4815
Hispanic or Latino,29789
