Category,Arizona
Total_doses_administered,7203424
Total_people_complete,3477576
Total_doses_ordered,5297970
total_pouluation,7189020
Total_people_one_dose,3965981
Male-65 years and older,519063
Male-55-64 years,299099
Male-45-54 years,260460
Male-20-44 years,616017
Male-Less than 20 years,161232
Female-65 years and older,640119
Female-55-64 years,344400
Female-45-54 years,285603
Female-20-44 years,650881
Female-Less than 20 years,169644
"Black or African American, non-Hispanic",108070
"American Indian or Alaska Native, non-Hispanic",117038
"Asian or Pacific Islander, non-Hispanic",149261
Unknown,428018
Other Race,668394
Hispanic or Latino,667744
"White, non-Hispanic",1827456
