Category,Mohave
Total_doses_administered,156040
Total_people_one_dose,89857
Total_people_complete,73923
Total_doses_ordered,129340
total_pouluation,216985
Male-65 years and older,21619
Male-55-64 years,8464
Male-45-54 years,4358
Male-20-44 years,7273
Male-Less than 20 years,1266
Female-65 years and older,24100
Female-55-64 years,9860
Female-45-54 years,4619
Female-20-44 years,6746
Female-Less than 20 years,1395
"Black or African American, non-Hispanic",625
"American Indian or Alaska Native, non-Hispanic",922
"Asian or Pacific Islander, non-Hispanic",1294
Hispanic or Latino,6363
Unknown,15211
Other Race,15963
"White, non-Hispanic",49479
