Category,Apache
Total_doses_administered,32716
Total_people_one_dose,18427
Total_people_complete,12005
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1940
Male-55-64 years,1283
Male-45-54 years,1008
Male-20-44 years,2450
Male-Less than 20 years,2477
Female-65 years and older,2045
Female-55-64 years,1404
Female-45-54 years,1000
Female-20-44 years,2247
Female-Less than 20 years,2563
"Asian or Pacific Islander, non-Hispanic",165
"Black or African American, non-Hispanic",279
Unknown,1008
Other Race,1237
Hispanic or Latino,1824
"White, non-Hispanic",3209
"American Indian or Alaska Native, non-Hispanic",10705
