Category,Yavapai
Total_doses_administered,190303
Total_people_one_dose,109245
Total_people_complete,91300
Total_doses_ordered,169790
total_pouluation,232386
Male-65 years and older,24006
Male-55-64 years,8537
Male-45-54 years,4966
Male-20-44 years,9656
Male-Less than 20 years,2016
Female-65 years and older,29965
Female-55-64 years,10918
Female-45-54 years,5790
Female-20-44 years,9831
Female-Less than 20 years,2249
"Black or African American, non-Hispanic",576
"American Indian or Alaska Native, non-Hispanic",1086
"Asian or Pacific Islander, non-Hispanic",1426
Hispanic or Latino,6859
Other Race,16719
Unknown,27393
"White, non-Hispanic",55186
