Category,Navajo
Total_doses_administered,76857
Total_people_one_dose,43323
Total_people_complete,36827
Total_doses_ordered,41410
total_pouluation,112825
Male-65 years and older,6909
Male-55-64 years,3585
Male-45-54 years,2526
Male-20-44 years,5337
Male-Less than 20 years,3057
Female-65 years and older,7593
Female-55-64 years,3851
Female-45-54 years,2553
Female-20-44 years,4704
Female-Less than 20 years,3174
"Black or African American, non-Hispanic",224
"Asian or Pacific Islander, non-Hispanic",414
Unknown,2189
Hispanic or Latino,2252
Other Race,8281
"White, non-Hispanic",14455
"American Indian or Alaska Native, non-Hispanic",15508
