Category,Cochise
Total_doses_administered,120779
Total_people_one_dose,68050
Total_people_complete,59504
Total_doses_ordered,90250
total_pouluation,130808
Male-65 years and older,10736
Male-55-64 years,5178
Male-45-54 years,3785
Male-20-44 years,9740
Male-Less than 20 years,2679
Female-65 years and older,12699
Female-55-64 years,6264
Female-45-54 years,4347
Female-20-44 years,9783
Female-Less than 20 years,2747
"American Indian or Alaska Native, non-Hispanic",321
"Black or African American, non-Hispanic",1266
"Asian or Pacific Islander, non-Hispanic",1305
Unknown,9119
Other Race,10341
Hispanic or Latino,16546
"White, non-Hispanic",29152
