Category,Maricopa
Total_doses_administered,3049387
Total_people_one_dose,1746094
Total_people_complete,1497000
Total_doses_ordered,1616078
total_pouluation,4367835
Male-65 years and older,181450
Male-55-64 years,127491
Male-45-54 years,126588
Male-20-44 years,293734
Male-Less than 20 years,80643
Female-65 years and older,235105
Female-55-64 years,146994
Female-45-54 years,140494
Female-20-44 years,318773
Female-Less than 20 years,83022
"American Indian or Alaska Native, non-Hispanic",36772
"Black or African American, non-Hispanic",67306
"Asian or Pacific Islander, non-Hispanic",81494
Unknown,172106
Other Race,267732
Hispanic or Latino,318676
"White, non-Hispanic",802008
