Category,Gila
Total_doses_administered,52599
Total_people_one_dose,29299
Total_people_complete,25767
Total_doses_ordered,37330
total_pouluation,55159
Male-65 years and older,5899
Male-55-64 years,2642
Male-45-54 years,1632
Male-20-44 years,3196
Male-Less than 20 years,747
Female-65 years and older,6249
Female-55-64 years,2937
Female-45-54 years,1722
Female-20-44 years,3318
Female-Less than 20 years,895
"Black or African American, non-Hispanic",97
"Asian or Pacific Islander, non-Hispanic",260
Hispanic or Latino,1334
Other Race,4862
Unknown,5455
"American Indian or Alaska Native, non-Hispanic",5879
"White, non-Hispanic",11412
