Category,Santa Cruz
Total_doses_administered,69803
Total_people_one_dose,39155
Total_people_complete,35076
Total_doses_ordered,49212
total_pouluation,53161
Male-65 years and older,3602
Male-55-64 years,2623
Male-45-54 years,3043
Male-20-44 years,7727
Male-Less than 20 years,2511
Female-65 years and older,4373
Female-55-64 years,2667
Female-45-54 years,2900
Female-20-44 years,7100
Female-Less than 20 years,2540
"American Indian or Alaska Native, non-Hispanic",18
"Black or African American, non-Hispanic",35
"Asian or Pacific Islander, non-Hispanic",98
Other Race,2034
Unknown,2340
"White, non-Hispanic",4821
Hispanic or Latino,29809
