Category,Cochise
Total_doses_administered,120991
Total_people_one_dose,68165
Total_people_complete,59601
Total_doses_ordered,90250
total_pouluation,130808
Male-65 years and older,10742
Male-55-64 years,5184
Male-45-54 years,3796
Male-20-44 years,9760
Male-Less than 20 years,2687
Female-65 years and older,12712
Female-55-64 years,6268
Female-45-54 years,4352
Female-20-44 years,9809
Female-Less than 20 years,2763
"American Indian or Alaska Native, non-Hispanic",321
"Black or African American, non-Hispanic",1272
"Asian or Pacific Islander, non-Hispanic",1308
Unknown,9136
Other Race,10359
Hispanic or Latino,16568
"White, non-Hispanic",29201
