Category,Gila
Total_doses_administered,52625
Total_people_one_dose,29315
Total_people_complete,25780
Total_doses_ordered,37330
total_pouluation,55159
Male-65 years and older,5903
Male-55-64 years,2642
Male-45-54 years,1632
Male-20-44 years,3200
Male-Less than 20 years,749
Female-65 years and older,6251
Female-55-64 years,2939
Female-45-54 years,1722
Female-20-44 years,3322
Female-Less than 20 years,893
"Black or African American, non-Hispanic",97
"Asian or Pacific Islander, non-Hispanic",260
Hispanic or Latino,1337
Other Race,4864
Unknown,5455
"American Indian or Alaska Native, non-Hispanic",5881
"White, non-Hispanic",11421
