Category,Mohave
Total_doses_administered,156312
Total_people_one_dose,90025
Total_people_complete,74061
Total_doses_ordered,129340
total_pouluation,216985
Male-65 years and older,21633
Male-55-64 years,8485
Male-45-54 years,4366
Male-20-44 years,7298
Male-Less than 20 years,1285
Female-65 years and older,24122
Female-55-64 years,9869
Female-45-54 years,4623
Female-20-44 years,6775
Female-Less than 20 years,1412
"Black or African American, non-Hispanic",626
"American Indian or Alaska Native, non-Hispanic",922
"Asian or Pacific Islander, non-Hispanic",1297
Hispanic or Latino,6387
Unknown,15235
Other Race,15986
"White, non-Hispanic",49572
