Category,Greenlee
Total_doses_administered,7972
Total_people_one_dose,4513
Total_people_complete,3967
Total_doses_ordered,9800
total_pouluation,10375
Male-65 years and older,521
Male-55-64 years,569
Male-45-54 years,461
Male-20-44 years,930
Male-Less than 20 years,40
Female-65 years and older,510
Female-55-64 years,399
Female-45-54 years,354
Female-20-44 years,686
Female-Less than 20 years,41
"Black or African American, non-Hispanic",0.0093064480389984
"Asian or Pacific Islander, non-Hispanic",0.0099711943274983
"American Indian or Alaska Native, non-Hispanic",0.0159539109239973
Other Race,0.0177265676933304
Unknown,0.0941723908708176
"White, non-Hispanic",0.4097052958120984
Hispanic or Latino,0.4431641923332595
