Category,Pima
Total_doses_administered,770379
Total_people_one_dose,439218
Total_people_complete,377359
Total_doses_ordered,585332
total_pouluation,1044675
Male-65 years and older,68432
Male-55-64 years,32227
Male-45-54 years,26171
Male-20-44 years,59793
Male-Less than 20 years,7891
Female-65 years and older,90627
Female-55-64 years,41050
Female-45-54 years,32091
Female-20-44 years,71161
Female-Less than 20 years,8930
"Black or African American, non-Hispanic",0.0165453146273604
"American Indian or Alaska Native, non-Hispanic",0.0189268199390735
"Asian or Pacific Islander, non-Hispanic",0.024124694343128
Other Race,0.1189295520675382
Unknown,0.1967565081576803
Hispanic or Latino,0.2045590116980634
"White, non-Hispanic",0.4201580991671562
