Category,Maricopa
Total_doses_administered,5062410
Total_people_one_dose,2525084
Total_people_complete,2254850
total_pouluation,2525084
Male-65 years and older,278204
Male-55-64 years,183370
Male-45-54 years,177499
Male-20-44 years,421937
Male-Less than 20 years,122786
Female-65 years and older,348221
Female-55-64 years,206770
Female-45-54 years,193080
Female-20-44 years,452229
Female-Less than 20 years,126559
"American Indian or Alaska Native, non-Hispanic",48418
"Black or African American, non-Hispanic",96491
"Asian or Pacific Islander, non-Hispanic",125705
Unknown,166190
Hispanic or Latino,413189
Other Race,415561
"White, non-Hispanic",1259530
