Category,Yavapai
Total_doses_administered,219227
Total_people_one_dose,112288
Total_people_complete,95767
total_pouluation,112288
Male-65 years and older,24826
Male-55-64 years,8858
Male-45-54 years,4843
Male-20-44 years,9759
Male-Less than 20 years,2482
Female-65 years and older,30635
Female-55-64 years,11259
Female-45-54 years,5780
Female-20-44 years,9921
Female-Less than 20 years,2777
"Black or African American, non-Hispanic",516
"Asian or Pacific Islander, non-Hispanic",1327
"American Indian or Alaska Native, non-Hispanic",1355
Hispanic or Latino,7533
Other Race,16504
Unknown,19638
"White, non-Hispanic",65415
