Category,Graham
Total_doses_administered,39683
Total_people_one_dose,20041
Total_people_complete,18052
total_pouluation,20041
Male-65 years and older,2349
Male-55-64 years,1549
Male-45-54 years,1402
Male-20-44 years,3457
Male-Less than 20 years,917
Female-65 years and older,2839
Female-55-64 years,1691
Female-45-54 years,1367
Female-20-44 years,3449
Female-Less than 20 years,1009
"Asian or Pacific Islander, non-Hispanic",80
"Black or African American, non-Hispanic",84
Other Race,1257
Hispanic or Latino,3523
Unknown,3929
"American Indian or Alaska Native, non-Hispanic",4943
"White, non-Hispanic",6225
