Category,Greenlee
Total_doses_administered,8337
Total_people_one_dose,4151
Total_people_complete,3663
total_pouluation,4151
Male-65 years and older,503
Male-55-64 years,370
Male-45-54 years,316
Male-20-44 years,764
Male-Less than 20 years,162
Female-65 years and older,505
Female-55-64 years,316
Female-45-54 years,319
Female-20-44 years,731
Female-Less than 20 years,163
"Asian or Pacific Islander, non-Hispanic",42
"Black or African American, non-Hispanic",44
Other Race,82
"American Indian or Alaska Native, non-Hispanic",111
Unknown,284
"White, non-Hispanic",1727
Hispanic or Latino,1861
