Category,La Paz
Total_doses_administered,15958
Total_people_one_dose,8329
Total_people_complete,7318
total_pouluation,8329
Male-65 years and older,2291
Male-55-64 years,588
Male-45-54 years,310
Male-20-44 years,632
Male-Less than 20 years,275
Female-65 years and older,2332
Female-55-64 years,693
Female-45-54 years,356
Female-20-44 years,560
Female-Less than 20 years,275
"Black or African American, non-Hispanic",36
"Asian or Pacific Islander, non-Hispanic",86
"American Indian or Alaska Native, non-Hispanic",422
Other Race,1104
Hispanic or Latino,1224
Unknown,1714
"White, non-Hispanic",3743
