Category,Yuma
Total_doses_administered,274360
Total_people_one_dose,143953
Total_people_complete,122994
total_pouluation,143953
Male-65 years and older,15207
Male-55-64 years,9924
Male-45-54 years,8816
Male-20-44 years,26514
Male-Less than 20 years,9764
Female-65 years and older,17673
Female-55-64 years,10537
Female-45-54 years,9684
Female-20-44 years,25011
Female-Less than 20 years,10305
"Black or African American, non-Hispanic",772
"American Indian or Alaska Native, non-Hispanic",1111
"Asian or Pacific Islander, non-Hispanic",1135
Other Race,16654
Unknown,27564
"White, non-Hispanic",31656
Hispanic or Latino,65061
