Category,value
Hospitalizations,82123
Day,
Day_pct,
Apache,1115
Cochise,948
Coconino,1704
Gila,882
Graham,416
Greenlee,61
La Paz,319
Maricopa,51687
Mohave,2732
Navajo,2133
Pima,8987
Pinal,5395
Santa Cruz,630
Yavapai,2577
Yuma,2537
0_5,
Less than 20 years,3076
20-44 years,17471
45-54 years,11616
55-64 years,15097
65 years and older,34821
Male,43111
Female,38970
Missing,
"White, non-Hispanic",39585
Hispanic or Latino,25645
"American Indian or Alaska Native, non-Hispanic",5820
"Black or African American, non-Hispanic",4052
"Asian or Pacific Islander, non-Hispanic",1361
Other Race,3555
