Category,Arizona
Total_doses_administered,8646109
Total_people_complete,400318
total_pouluation,7189020
Total_people_one_dose,4374969
Male-65 years and older,543955
Male-55-64 years,316226
Male-45-54 years,285620
Male-20-44 years,704378
Male-Less than 20 years,213368
Female-65 years and older,664985
Female-55-64 years,360641
Female-45-54 years,308729
Female-20-44 years,735803
Female-Less than 20 years,221597
"Black or African American, non-Hispanic",131502
"Asian or Pacific Islander, non-Hispanic",165306
"American Indian or Alaska Native, non-Hispanic",176179
Unknown,400359
Other Race,640491
Hispanic or Latino,787435
"White, non-Hispanic",2073697
