Category,Mohave
Total_doses_administered,165865
Total_people_one_dose,85919
Total_people_complete,74048
total_pouluation,85919
Male-65 years and older,19899
Male-55-64 years,7903
Male-45-54 years,4102
Male-20-44 years,7109
Male-Less than 20 years,1554
Female-65 years and older,22303
Female-55-64 years,9266
Female-45-54 years,4643
Female-20-44 years,7199
Female-Less than 20 years,1767
"Black or African American, non-Hispanic",573
"American Indian or Alaska Native, non-Hispanic",674
"Asian or Pacific Islander, non-Hispanic",1268
Hispanic or Latino,6658
Unknown,11262
Other Race,13901
"White, non-Hispanic",51583
