,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,4706849,1350261,15508,80726,115847,38286,14602,7809,14309,1728908,99757,41660,637639,197932,40392,146427,130298
Total_people_one_dose,2811591,789257,8982,49367,65769,22368,8812,4444,8282,1067878,63086,25288,384601,121473,24799,87206,79979
Total_people_complete,2061845,,,,,,,,,,,,,,,,
Total_doses_ordered,4335320,,,,,,,,,,,,,,,,
65 years and older,567809,,,,,,,,,,,,,,,,
55-64 years,281879,,,,,,,,,,,,,,,,
45-54 years,203852,,,,,,,,,,,,,,,,
20-44 years,426436,,,,,,,,,,,,,,,,
Less than 20 years,45353,,,,,,,,,,,,,,,,
65 years and older,8282,,,,,,,,,,,,,,,,
55-64 years,233161,,,,,,,,,,,,,,,,
45-54 years,174853,,,,,,,,,,,,,,,,
20-44 years,373981,,,,,,,,,,,,,,,,
Less than 20 years,38681,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",61659,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",66586,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",101831,,,,,,,,,,,,,,,,
Hispanic or Latino,351065,,,,,,,,,,,,,,,,
Unknown,388709,,,,,,,,,,,,,,,,
Other Race,482607,,,,,,,,,,,,,,,,
"White, non-Hispanic",1359134,,,,,,,,,,,,,,,,
