Category,Coconino
Total_doses_administered,205248
Total_people_one_dose,94948
Total_people_complete,81839
total_pouluation,94948
Male-65 years and older,9443
Male-55-64 years,6381
Male-45-54 years,5829
Male-20-44 years,17211
Male-Less than 20 years,6169
Female-65 years and older,10621
Female-55-64 years,7141
Female-45-54 years,5890
Female-20-44 years,19593
Female-Less than 20 years,6397
"Black or African American, non-Hispanic",786
"Asian or Pacific Islander, non-Hispanic",1642
Hispanic or Latino,7193
Other Race,8682
Unknown,12634
"American Indian or Alaska Native, non-Hispanic",22654
"White, non-Hispanic",41357
