Category,Arizona
Total_doses_administered,9698729
Total_people_complete,3941834
total_pouluation,7189020
Total_people_one_dose,4661700
Male-65 years and older,568618
Male-55-64 years,330771
Male-45-54 years,298438
Male-20-44 years,741606
Male-Less than 20 years,265855
Female-65 years and older,691346
Female-55-64 years,376153
Female-45-54 years,321314
Female-20-44 years,775191
Female-Less than 20 years,272450
"Black or African American, non-Hispanic",140737
"Asian or Pacific Islander, non-Hispanic",177941
"American Indian or Alaska Native, non-Hispanic",200164
Unknown,426430
Other Race,667774
Hispanic or Latino,867659
"White, non-Hispanic",2180995
