Category,Apache
Total_doses_administered,61200
Total_people_one_dose,29445
Total_people_complete,22701
total_pouluation,29445
Male-65 years and older,2801
Male-55-64 years,2040
Male-45-54 years,1633
Male-20-44 years,3890
Male-Less than 20 years,4032
Female-65 years and older,3360
Female-55-64 years,2195
Female-45-54 years,1603
Female-20-44 years,3777
Female-Less than 20 years,4106
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",136
Hispanic or Latino,570
Unknown,1119
Other Race,1145
"White, non-Hispanic",3658
"American Indian or Alaska Native, non-Hispanic",22758
