Category,Maricopa
Total_doses_administered,5613898
Total_people_one_dose,2654911
Total_people_complete,2306352
total_pouluation,2654911
Male-65 years and older,286342
Male-55-64 years,189147
Male-45-54 years,183545
Male-20-44 years,439609
Male-Less than 20 years,149502
Female-65 years and older,357653
Female-55-64 years,212672
Female-45-54 years,198877
Female-20-44 years,470687
Female-Less than 20 years,152401
"American Indian or Alaska Native, non-Hispanic",51962
"Black or African American, non-Hispanic",102807
"Asian or Pacific Islander, non-Hispanic",134538
Unknown,178965
Other Race,428540
Hispanic or Latino,446839
"White, non-Hispanic",1311260
