Category,Mohave
Total_doses_administered,185949
Total_people_one_dose,90501
Total_people_complete,76557
total_pouluation,90501
Male-65 years and older,21049
Male-55-64 years,8269
Male-45-54 years,4303
Male-20-44 years,7544
Male-Less than 20 years,1819
Female-65 years and older,23157
Female-55-64 years,9607
Female-45-54 years,4850
Female-20-44 years,7717
Female-Less than 20 years,2008
"Black or African American, non-Hispanic",617
"American Indian or Alaska Native, non-Hispanic",742
"Asian or Pacific Islander, non-Hispanic",1379
Hispanic or Latino,7218
Unknown,11585
Other Race,14430
"White, non-Hispanic",54530
