Category,Navajo
Total_doses_administered,100027
Total_people_one_dose,49187
Total_people_complete,40526
total_pouluation,49187
Male-65 years and older,7344
Male-55-64 years,3584
Male-45-54 years,2716
Male-20-44 years,5819
Male-Less than 20 years,4384
Female-65 years and older,8273
Female-55-64 years,4114
Female-45-54 years,2718
Female-20-44 years,5701
Female-Less than 20 years,4498
"Black or African American, non-Hispanic",205
"Asian or Pacific Islander, non-Hispanic",360
Unknown,2322
Hispanic or Latino,2504
Other Race,6327
"White, non-Hispanic",16040
"American Indian or Alaska Native, non-Hispanic",21429
