Category,Yavapai
Total_doses_administered,247310
Total_people_one_dose,117678
Total_people_complete,99064
total_pouluation,117678
Male-65 years and older,25966
Male-55-64 years,9218
Male-45-54 years,5079
Male-20-44 years,10268
Male-Less than 20 years,2951
Female-65 years and older,31615
Female-55-64 years,11658
Female-45-54 years,6029
Female-20-44 years,10528
Female-Less than 20 years,3215
"Black or African American, non-Hispanic",567
"American Indian or Alaska Native, non-Hispanic",1433
"Asian or Pacific Islander, non-Hispanic",1445
Hispanic or Latino,8143
Other Race,17281
Unknown,18885
"White, non-Hispanic",69924
