Category,Gila
Total_doses_administered,55915
Total_people_one_dose,26104
Total_people_complete,22917
total_pouluation,26104
Male-65 years and older,5833
Male-55-64 years,2230
Male-45-54 years,1261
Male-20-44 years,2409
Male-Less than 20 years,716
Female-65 years and older,6219
Female-55-64 years,2611
Female-45-54 years,1399
Female-20-44 years,2579
Female-Less than 20 years,789
"Black or African American, non-Hispanic",90
"Asian or Pacific Islander, non-Hispanic",206
Hispanic or Latino,1439
"American Indian or Alaska Native, non-Hispanic",2654
Other Race,4167
Unknown,4589
"White, non-Hispanic",12959
