Category,Mohave
Total_doses_administered,181319
Total_people_one_dose,89438
Total_people_complete,76005
total_pouluation,89438
Male-65 years and older,20768
Male-55-64 years,8182
Male-45-54 years,4254
Male-20-44 years,7440
Male-Less than 20 years,1744
Female-65 years and older,22950
Female-55-64 years,9529
Female-45-54 years,4813
Female-20-44 years,7623
Female-Less than 20 years,1957
"Black or African American, non-Hispanic",605
"American Indian or Alaska Native, non-Hispanic",730
"Asian or Pacific Islander, non-Hispanic",1344
Hispanic or Latino,7091
Unknown,11504
Other Race,14318
"White, non-Hispanic",53846
