Category,Greenlee
Total_doses_administered,9139
Total_people_one_dose,4337
Total_people_complete,3742
total_pouluation,4337
Male-65 years and older,512
Male-55-64 years,369
Male-45-54 years,322
Male-20-44 years,784
Male-Less than 20 years,215
Female-65 years and older,515
Female-55-64 years,316
Female-45-54 years,326
Female-20-44 years,754
Female-Less than 20 years,222
"Asian or Pacific Islander, non-Hispanic",43
"Black or African American, non-Hispanic",53
Other Race,89
"American Indian or Alaska Native, non-Hispanic",119
Unknown,311
"White, non-Hispanic",1769
Hispanic or Latino,1953
