Category,La Paz
Total_doses_administered,17607
Total_people_one_dose,8856
Total_people_complete,7482
total_pouluation,8856
Male-65 years and older,2391
Male-55-64 years,608
Male-45-54 years,326
Male-20-44 years,665
Male-Less than 20 years,361
Female-65 years and older,2421
Female-55-64 years,733
Female-45-54 years,371
Female-20-44 years,597
Female-Less than 20 years,365
"Black or African American, non-Hispanic",39
"Asian or Pacific Islander, non-Hispanic",89
"American Indian or Alaska Native, non-Hispanic",522
Other Race,1163
Hispanic or Latino,1329
Unknown,1819
"White, non-Hispanic",3895
