Category,Coconino
Total_doses_administered,199916
Total_people_one_dose,93892
Total_people_complete,81474
total_pouluation,93892
Male-65 years and older,9376
Male-55-64 years,6326
Male-45-54 years,5766
Male-20-44 years,17038
Male-Less than 20 years,5951
Female-65 years and older,10563
Female-55-64 years,7108
Female-45-54 years,5854
Female-20-44 years,19437
Female-Less than 20 years,6209
"Black or African American, non-Hispanic",778
"Asian or Pacific Islander, non-Hispanic",1616
Hispanic or Latino,7045
Other Race,8615
Unknown,12680
"American Indian or Alaska Native, non-Hispanic",22351
"White, non-Hispanic",40807
