Category,Santa Cruz
Total_doses_administered,107923
Total_people_one_dose,55876
Total_people_complete,44331
total_pouluation,55876
Male-65 years and older,4695
Male-55-64 years,3262
Male-45-54 years,3415
Male-20-44 years,9017
Male-Less than 20 years,6358
Female-65 years and older,5681
Female-55-64 years,3565
Female-45-54 years,3691
Female-20-44 years,9395
Female-Less than 20 years,6712
"American Indian or Alaska Native, non-Hispanic",57
"Black or African American, non-Hispanic",58
"Asian or Pacific Islander, non-Hispanic",184
Other Race,3485
Unknown,3806
"White, non-Hispanic",7496
Hispanic or Latino,40790
