Category,Pinal
Total_doses_administered,506930
Total_people_one_dose,249593
Total_people_complete,218986
total_pouluation,249593
Male-65 years and older,36618
Male-55-64 years,18270
Male-45-54 years,16727
Male-20-44 years,38148
Male-Less than 20 years,12199
Female-65 years and older,42194
Female-55-64 years,20583
Female-45-54 years,17004
Female-20-44 years,35061
Female-Less than 20 years,12039
"Asian or Pacific Islander, non-Hispanic",5092
"Black or African American, non-Hispanic",9088
"American Indian or Alaska Native, non-Hispanic",9657
Unknown,29493
Other Race,30904
Hispanic or Latino,40250
"White, non-Hispanic",125109
