Category,Cochise
Total_doses_administered,159968
Total_people_one_dose,80004
Total_people_complete,66533
total_pouluation,80004
Male-65 years and older,11161
Male-55-64 years,5466
Male-45-54 years,4286
Male-20-44 years,11495
Male-Less than 20 years,5271
Female-65 years and older,13085
Female-55-64 years,6501
Female-45-54 years,4809
Female-20-44 years,12192
Female-Less than 20 years,5637
"American Indian or Alaska Native, non-Hispanic",355
"Asian or Pacific Islander, non-Hispanic",1459
"Black or African American, non-Hispanic",1550
Unknown,9413
Other Race,11810
Hispanic or Latino,22534
"White, non-Hispanic",32883
