Category,Yavapai
Total_doses_administered,241600
Total_people_one_dose,116548
Total_people_complete,98431
total_pouluation,116548
Male-65 years and older,25755
Male-55-64 years,9135
Male-45-54 years,5025
Male-20-44 years,10133
Male-Less than 20 years,2858
Female-65 years and older,31419
Female-55-64 years,11585
Female-45-54 years,5984
Female-20-44 years,10386
Female-Less than 20 years,3120
"Black or African American, non-Hispanic",553
"Asian or Pacific Islander, non-Hispanic",1419
"American Indian or Alaska Native, non-Hispanic",1419
Hispanic or Latino,8003
Other Race,17157
Unknown,19084
"White, non-Hispanic",68913
