Category,Gila
Total_doses_administered,55001
Total_people_one_dose,25907
Total_people_complete,22842
total_pouluation,25907
Male-65 years and older,5785
Male-55-64 years,2223
Male-45-54 years,1252
Male-20-44 years,2382
Male-Less than 20 years,695
Female-65 years and older,6188
Female-55-64 years,2593
Female-45-54 years,1394
Female-20-44 years,2564
Female-Less than 20 years,773
"Black or African American, non-Hispanic",89
"Asian or Pacific Islander, non-Hispanic",204
Hispanic or Latino,1421
"American Indian or Alaska Native, non-Hispanic",2650
Other Race,4132
Unknown,4579
"White, non-Hispanic",12832
