Category,Navajo
Total_doses_administered,98000
Total_people_one_dose,48670
Total_people_complete,40324
total_pouluation,48670
Male-65 years and older,7292
Male-55-64 years,3562
Male-45-54 years,2682
Male-20-44 years,5752
Male-Less than 20 years,4285
Female-65 years and older,8224
Female-55-64 years,4086
Female-45-54 years,2701
Female-20-44 years,5653
Female-Less than 20 years,4397
"Black or African American, non-Hispanic",204
"Asian or Pacific Islander, non-Hispanic",353
Unknown,2289
Hispanic or Latino,2461
Other Race,6277
"White, non-Hispanic",15916
"American Indian or Alaska Native, non-Hispanic",21170
