Category,Maricopa
Total_doses_administered,5482410
Total_people_one_dose,2624979
Total_people_complete,2294934
total_pouluation,2624979
Male-65 years and older,284171
Male-55-64 years,187648
Male-45-54 years,182031
Male-20-44 years,435024
Male-Less than 20 years,144234
Female-65 years and older,355266
Female-55-64 years,211202
Female-45-54 years,197441
Female-20-44 years,466143
Female-Less than 20 years,147360
"American Indian or Alaska Native, non-Hispanic",51291
"Black or African American, non-Hispanic",101227
"Asian or Pacific Islander, non-Hispanic",132506
Unknown,175780
Other Race,425527
Hispanic or Latino,439092
"White, non-Hispanic",1299556
