Category,Maricopa
Total_doses_administered,5393475
Total_people_one_dose,2606291
Total_people_complete,2287082
total_pouluation,2606291
Male-65 years and older,282945
Male-55-64 years,186801
Male-45-54 years,181150
Male-20-44 years,432358
Male-Less than 20 years,140458
Female-65 years and older,353870
Female-55-64 years,210352
Female-45-54 years,196637
Female-20-44 years,463473
Female-Less than 20 years,143802
"American Indian or Alaska Native, non-Hispanic",50726
"Black or African American, non-Hispanic",100420
"Asian or Pacific Islander, non-Hispanic",131315
Unknown,173651
Other Race,423647
Hispanic or Latino,433946
"White, non-Hispanic",1292586
