Category,Greenlee
Total_doses_administered,8949
Total_people_one_dose,4290
Total_people_complete,3724
total_pouluation,4290
Male-65 years and older,511
Male-55-64 years,368
Male-45-54 years,323
Male-20-44 years,780
Male-Less than 20 years,198
Female-65 years and older,511
Female-55-64 years,316
Female-45-54 years,325
Female-20-44 years,750
Female-Less than 20 years,206
"Asian or Pacific Islander, non-Hispanic",43
"Black or African American, non-Hispanic",51
Other Race,87
"American Indian or Alaska Native, non-Hispanic",117
Unknown,309
"White, non-Hispanic",1761
Hispanic or Latino,1922
