Category,La Paz
Total_doses_administered,17390
Total_people_one_dose,8766
Total_people_complete,7454
total_pouluation,8766
Male-65 years and older,2368
Male-55-64 years,603
Male-45-54 years,319
Male-20-44 years,660
Male-Less than 20 years,357
Female-65 years and older,2405
Female-55-64 years,723
Female-45-54 years,368
Female-20-44 years,587
Female-Less than 20 years,358
"Black or African American, non-Hispanic",38
"Asian or Pacific Islander, non-Hispanic",89
"American Indian or Alaska Native, non-Hispanic",513
Other Race,1153
Hispanic or Latino,1301
Unknown,1808
"White, non-Hispanic",3864
