Category,Coconino
Total_doses_administered,195727
Total_people_one_dose,93134
Total_people_complete,81182
total_pouluation,93134
Male-65 years and older,9323
Male-55-64 years,6286
Male-45-54 years,5722
Male-20-44 years,16925
Male-Less than 20 years,5812
Female-65 years and older,10514
Female-55-64 years,7081
Female-45-54 years,5820
Female-20-44 years,19299
Female-Less than 20 years,6089
"Black or African American, non-Hispanic",767
"Asian or Pacific Islander, non-Hispanic",1572
Hispanic or Latino,6961
Other Race,8540
Unknown,12761
"American Indian or Alaska Native, non-Hispanic",22186
"White, non-Hispanic",40347
