Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,9295837,58094,195727,156173,42376,8949,54372,17390,5393475,178130,96697,499023,1504795,105544,237592,299605
Total_people_complete,447895,22401,81182,66068,18364,3724,22784,7454,2287082,75554,40174,217858,623178,43892,97937,125677
total_pouluation,7189020,28596,93134,78973,20788,4290,25796,8766,2606291,88715,48281,247745,714951,54890,115808,152865
Total_people_one_dose,4557316,28596,93134,78973,20788,4290,25796,8766,2606291,88715,48281,247745,714951,54890,115808,152865
Male-65 years and older,558908,2756,9323,11069,2380,511,5768,2368,282945,20547,7251,36389,90970,4653,25603,15940
Male-55-64 years,325076,2006,6286,5411,1575,368,2217,603,186801,8142,3545,18169,47632,3238,9087,10233
Male-45-54 years,293399,1601,5722,4244,1433,323,1246,319,181150,4219,2666,16627,40944,3377,4985,9088
Male-20-44 years,726622,3771,16925,11385,3536,780,2371,660,432358,7375,5691,37826,109635,8953,10062,27567
Male-Less than 20 years,248886,3839,5812,5058,1094,198,680,357,140458,1712,4204,11944,40956,6044,2803,11774
Female-65 years and older,681159,3315,10514,13000,2887,511,6166,2405,353870,22797,8194,41955,117128,5624,31283,18473
Female-55-64 years,370294,2147,7081,6444,1713,316,2596,723,210352,9468,4067,20485,57086,3522,11531,10935
Female-45-54 years,316673,1577,5820,4770,1411,325,1391,368,196637,4789,2680,16935,46500,3652,5949,10007
Female-20-44 years,760153,3682,19299,12054,3563,750,2553,587,463473,7568,5607,34845,120450,9254,10296,26047
Female-Less than 20 years,256316,3894,6089,5437,1184,206,750,358,143802,1921,4340,11822,42192,6490,3061,12238
"Black or African American, non-Hispanic",137203,59,767,1538,90,51,89,38,100420,598,202,9017,16126,57,545,816
"Asian or Pacific Islander, non-Hispanic",173189,129,1572,1449,83,43,204,89,131315,1333,351,5050,21509,184,1399,1185
"American Indian or Alaska Native, non-Hispanic",193818,22021,22186,351,5161,117,2635,513,50726,721,21002,9537,14909,56,1411,1147
Unknown,414825,1102,12761,9264,4050,309,4568,1808,173651,11435,2231,29184,65419,3720,19239,28515
Other Race,657758,1119,8540,11741,1296,87,4118,1153,423647,14252,6244,30762,89712,3463,17043,18135
Hispanic or Latino,838735,563,6961,21946,3717,1922,1408,1301,433946,6995,2429,39895,171134,39966,7899,69520
"White, non-Hispanic",2141788,3603,40347,32684,6391,1761,12774,3864,1292586,53381,15822,124300,336142,7444,68272,33547
