Category,Santa Cruz
Total_doses_administered,105544
Total_people_one_dose,54890
Total_people_complete,43892
total_pouluation,54890
Male-65 years and older,4653
Male-55-64 years,3238
Male-45-54 years,3377
Male-20-44 years,8953
Male-Less than 20 years,6044
Female-65 years and older,5624
Female-55-64 years,3522
Female-45-54 years,3652
Female-20-44 years,9254
Female-Less than 20 years,6490
"American Indian or Alaska Native, non-Hispanic",56
"Black or African American, non-Hispanic",57
"Asian or Pacific Islander, non-Hispanic",184
Other Race,3463
Unknown,3720
"White, non-Hispanic",7444
Hispanic or Latino,39966
