Category,Pinal
Total_doses_administered,499023
Total_people_one_dose,247745
Total_people_complete,217858
total_pouluation,247745
Male-65 years and older,36389
Male-55-64 years,18169
Male-45-54 years,16627
Male-20-44 years,37826
Male-Less than 20 years,11944
Female-65 years and older,41955
Female-55-64 years,20485
Female-45-54 years,16935
Female-20-44 years,34845
Female-Less than 20 years,11822
"Asian or Pacific Islander, non-Hispanic",5050
"Black or African American, non-Hispanic",9017
"American Indian or Alaska Native, non-Hispanic",9537
Unknown,29184
Other Race,30762
Hispanic or Latino,39895
"White, non-Hispanic",124300
