Category,Pinal
Total_doses_administered,322222
Total_people_one_dose,184958
Total_people_complete,162918
Total_doses_ordered,198808
total_pouluation,455210
Male-65 years and older,30142
Male-55-64 years,14026
Male-45-54 years,13128
Male-20-44 years,31146
Male-Less than 20 years,6109
Female-65 years and older,34572
Female-55-64 years,14914
Female-45-54 years,11772
Female-20-44 years,22498
Female-Less than 20 years,6058
"Asian or Pacific Islander, non-Hispanic",3299
"Black or African American, non-Hispanic",5319
"American Indian or Alaska Native, non-Hispanic",8866
Other Race,19870
Hispanic or Latino,29459
Unknown,37503
"White, non-Hispanic",80642
